t_ms,ax,ay,az,emg_env,emg_raw
1224979,0.18945,0.30326,0.90555,0.3956,0.2232
1224995,0.18978,0.30271,0.90675,0.0,0.0056
1225011,0.18843,0.30319,0.90603,0.0,0.1241
1225028,0.18886,0.30299,0.90522,0.0,0.4666
1225044,0.18859,0.30205,0.9063,0.332,0.5343
1225060,0.18889,0.30331,0.90543,0.3989,0.2667
1225076,0.18941,0.30261,0.90386,0.0024,0.0177
1225092,0.18849,0.30276,0.90675,0.0,0.033
1225108,0.18811,0.3027,0.90687,0.0,0.4609
1225124,0.18896,0.30304,0.90641,0.3199,0.5375
1225140,0.18772,0.30384,0.9053,0.3932,0.2675
1225156,0.18903,0.30316,0.90599,0.0177,0.0218
1225172,0.18898,0.30303,0.90694,0.0,0.0234
1225188,0.18904,0.30294,0.90601,0.0,0.4569
1225204,0.18499,0.30042,0.90638,0.3255,0.5391
1225220,0.18985,0.3046,0.90559,0.3972,0.2804
1225236,0.18881,0.30134,0.9071,0.0185,0.025
1225252,0.19039,0.30138,0.90523,0.0,0.0177
1225268,0.18876,0.30242,0.90526,0.0,0.4577
1225284,0.18834,0.30237,0.90579,0.3239,0.5399
1225300,0.18829,0.30475,0.9066,0.3964,0.2796
1225316,0.18973,0.30205,0.90572,0.0137,0.0314
1225332,0.18954,0.30341,0.90652,0.0,0.0137
1225348,0.18819,0.30172,0.90837,0.0,0.4481
1225364,0.18806,0.30221,0.90513,0.3054,0.5343
1225380,0.18821,0.3041,0.90603,0.3972,0.278
1225396,0.18857,0.30582,0.90523,0.0354,0.033
1225412,0.18836,0.30138,0.90689,0.0,0.0008
1225428,0.18913,0.30103,0.90667,0.0,0.4432
1225444,0.18857,0.30436,0.90721,0.2973,0.5367
1225460,0.18903,0.30491,0.90622,0.394,0.2861
1225476,0.18806,0.30384,0.90554,0.062,0.0363
1225492,0.1897,0.30108,0.90799,0.0,0.0
1225508,0.18933,0.30237,0.90654,0.0,0.4473
1225524,0.18954,0.30336,0.90575,0.3006,0.5351
1225540,0.18863,0.30316,0.90687,0.386,0.2836
1225556,0.18866,0.30256,0.90612,0.062,0.0443
1225572,0.1884,0.30326,0.90639,0.0,0.0
1225588,0.18818,0.30279,0.90717,0.0,0.4416
1225604,0.189,0.30408,0.90682,0.2861,0.5343
1225620,0.18892,0.30187,0.90606,0.3956,0.2877
1225636,0.18846,0.30237,0.90588,0.0798,0.0451
1225652,0.18859,0.30345,0.90665,0.0,0.0
1225668,0.18964,0.31073,0.90709,0.0,0.4416
1225684,0.1895,0.30749,0.90785,0.299,0.5391
1225700,0.18853,0.29873,0.90748,0.3956,0.2925
1225716,0.1883,0.30399,0.90587,0.0927,0.0475
1225732,0.18763,0.3019,0.90752,0.0,0.0
1225748,0.18771,0.3031,0.90631,0.0,0.3956
1225764,0.18996,0.30241,0.9058,0.2426,0.5407
1225780,0.18856,0.30405,0.90677,0.3956,0.3465
1225796,0.188,0.30091,0.90556,0.2168,0.0918
1225813,0.18848,0.30218,0.90633,0.0,0.0
1225829,0.18877,0.30374,0.90636,0.0,0.3586
1225845,0.18943,0.30493,0.90624,0.1934,0.5431
1225861,0.18887,0.30294,0.90663,0.4279,0.4077
1225877,0.18939,0.30089,0.90436,0.2804,0.1265
1225893,0.18893,0.30295,0.90657,0.0,0.0
1225909,0.18923,0.30471,0.90725,0.0,0.3682
1225925,0.1889,0.30389,0.90579,0.1974,0.5407
1225941,0.18835,0.30594,0.90683,0.4207,0.4085
1225958,0.18933,0.30381,0.90985,0.386,0.1934
1225974,0.1887,0.302,0.90577,0.0,0.0
1225990,0.18829,0.30418,0.90815,0.0,0.1909
1226006,0.18909,0.30177,0.90644,0.0459,0.4867
1226023,0.18789,0.30379,0.90526,0.3658,0.5222
1226039,0.18886,0.30094,0.90556,0.3844,0.2321
1226055,0.18911,0.3034,0.90571,0.0,0.0081
1226071,0.1891,0.30314,0.9068,0.0,0.116
1226087,0.18868,0.30185,0.90599,0.0,0.4593
1226103,0.18846,0.30196,0.90641,0.3336,0.5375
1226119,0.1878,0.30235,0.90535,0.394,0.2732
1226135,0.19008,0.30324,0.90605,0.0185,0.0201
1226151,0.18839,0.30291,0.90643,0.0,0.0193
1226168,0.18871,0.30218,0.90642,0.0,0.4199
1226184,0.18853,0.30231,0.90626,0.2651,0.5351
1226200,0.18897,0.30338,0.9056,0.3892,0.3239
1226216,0.18932,0.30381,0.90588,0.1708,0.0725
1226232,0.189,0.30357,0.90488,0.0,0.0
1226248,0.18832,0.30232,0.90527,0.0,0.4118
1226264,0.1892,0.30261,0.90474,0.2538,0.5351
1226280,0.18853,0.30252,0.90524,0.3803,0.3247
1226296,0.18919,0.30252,0.90665,0.1732,0.0749
1226312,0.18849,0.30259,0.90719,0.0,0.0
1226328,0.18849,0.30198,0.90526,0.0,0.3715
1226344,0.18885,0.30317,0.90654,0.2119,0.5375
1226360,0.18989,0.30376,0.90697,0.4182,0.3908
1226376,0.18732,0.30262,0.90637,0.2683,0.1136
1226393,0.18764,0.30483,0.90697,0.0,0.0
1226409,0.18856,0.30223,0.90595,0.0,0.3344
1226425,0.18814,0.3041,0.90571,0.1853,0.5343
1226441,0.19033,0.3027,0.90698,0.4191,0.4424
1226457,0.18947,0.30245,0.90593,0.3167,0.1474
1226473,0.18869,0.30169,0.90629,0.0,0.0
1226489,0.18792,0.30262,0.90533,0.0,0.3409
1226505,0.18931,0.3046,0.90428,0.1781,0.5391
1226521,0.18907,0.30384,0.90715,0.4182,0.4376
1226537,0.18913,0.30134,0.90559,0.3183,0.1458
1226553,0.1891,0.30268,0.9058,0.0,0.0
1226569,0.18854,0.30345,0.90624,0.0,0.3006
1226585,0.18814,0.30652,0.90659,0.1434,0.531
1226601,0.18837,0.30487,0.90747,0.4053,0.4851
1226617,0.18948,0.30089,0.90613,0.3723,0.1845
1226634,0.1883,0.30416,0.90633,0.0,0.0
1226650,0.18835,0.30192,0.90654,0.0,0.2264
1226666,0.18828,0.30416,0.90526,0.0556,0.4988
1226682,0.18845,0.30233,0.90689,0.3852,0.5117
1226698,0.18866,0.3016,0.90657,0.3916,0.2232
1226714,0.18847,0.30186,0.90566,0.0,0.0
1226730,0.18913,0.30228,0.90715,0.0,0.2281
1226746,0.18924,0.30283,0.90623,0.054,0.5004
1226762,0.18903,0.30365,0.90531,0.3811,0.5125
1226778,0.18915,0.30334,0.90623,0.3844,0.2208
1226794,0.18884,0.30204,0.90622,0.0,0.0
1226810,0.18899,0.30378,0.90515,0.0,0.1491
1226826,0.1893,0.30424,0.90678,0.0008,0.4714
1226842,0.18822,0.30284,0.90515,0.3545,0.5343
1226859,0.18867,0.30149,0.907,0.3932,0.2514
1226875,0.1883,0.30336,0.90667,0.0,0.0137
1226891,0.18894,0.3033,0.90611,0.0,0.0588
1226907,0.18902,0.30278,0.90706,0.0,0.436
1226923,0.1895,0.30202,0.90686,0.2893,0.5351
1226939,0.18862,0.3026,0.90601,0.3924,0.2917
1226955,0.18863,0.30246,0.90662,0.0894,0.0491
1226971,0.18904,0.30352,0.90555,0.0,0.0
1226987,0.18838,0.30243,0.90496,0.0,0.3932
1227003,0.18937,0.30225,0.90664,0.2297,0.5359
1227020,0.18901,0.30221,0.90612,0.4174,0.3537
1227036,0.1888,0.3032,0.90573,0.2184,0.0951
1227052,0.18861,0.30259,0.90593,0.0,0.0
1227068,0.18785,0.30249,0.90648,0.0,0.365
1227084,0.18873,0.30278,0.9055,0.1918,0.5439
1227100,0.1897,0.30333,0.90582,0.4037,0.3521
1227116,0.18872,0.30336,0.90696,0.216,0.0943
1227132,0.18845,0.30241,0.9057,0.0,0.0
1227148,0.18793,0.30304,0.90506,0.0,0.3554
1227164,0.18855,0.30346,0.90741,0.199,0.5431
1227180,0.19013,0.30298,0.90613,0.3924,0.3529
1227196,0.19009,0.30576,0.90723,0.2248,0.0959
1227212,0.1895,0.30441,0.90693,0.0,0.0
1227228,0.18908,0.30037,0.90586,0.0,0.3594
1227244,0.18808,0.30526,0.90606,0.1918,0.5407
1227260,0.18796,0.30251,0.90788,0.4061,0.4199
1227276,0.18847,0.3036,0.90584,0.2893,0.1321
1227292,0.18938,0.30131,0.90751,0.0,0.0
1227308,0.18807,0.30284,0.90676,0.0,0.1974
1227326,0.18889,0.30374,0.90642,0.0298,0.4916
1227342,0.1882,0.30262,0.90621,0.3763,0.5262
1227358,0.18816,0.30246,0.90523,0.3924,0.2369
1227374,0.18813,0.30378,0.90578,0.0,0.0073
1227390,0.18888,0.30225,0.90672,0.0,0.1096
1227406,0.18885,0.30276,0.90599,0.0,0.4585
1227422,0.18927,0.30252,0.90612,0.3272,0.5383
1227438,0.18927,0.30261,0.90678,0.3908,0.2748
1227455,0.18915,0.30359,0.90552,0.0169,0.0226
1227471,0.18842,0.30309,0.90511,0.0,0.0153
1227487,0.18914,0.30255,0.90709,0.0,0.4215
1227503,0.18829,0.30318,0.90553,0.2506,0.5399
1227519,0.18872,0.3031,0.9067,0.4207,0.3263
1227535,0.18806,0.30364,0.90667,0.1748,0.0725
1227551,0.18899,0.30326,0.90595,0.0,0.0218
1227567,0.18903,0.30359,0.90624,0.0,0.4215
1227583,0.18853,0.3029,0.90617,0.2514,0.5383
1227599,0.18915,0.30223,0.90602,0.394,0.3247
1227615,0.18818,0.30309,0.90649,0.1692,0.0717
1227631,0.18892,0.30304,0.9064,0.0,0.0242
1227647,0.18892,0.30275,0.90555,0.0,0.4215
1227663,0.18912,0.30094,0.90521,0.2538,0.5375
1227679,0.18956,0.3033,0.90656,0.3892,0.3151
1227695,0.18937,0.30378,0.90649,0.1732,0.0798
1227711,0.18841,0.30342,0.90619,0.0,0.0
1227727,0.18844,0.30208,0.90736,0.0,0.4263
1227743,0.18887,0.30256,0.90592,0.2627,0.5375
1227759,0.18909,0.30275,0.90671,0.3908,0.3183
1227775,0.18856,0.30312,0.90569,0.1603,0.0693
1227791,0.18799,0.30234,0.90619,0.0,0.0
1227807,0.18906,0.30235,0.90614,0.0,0.386
1227823,0.18907,0.30261,0.90588,0.274,0.5391
1227839,0.18899,0.30257,0.90562,0.3884,0.3143
1227855,0.18957,0.30305,0.90643,0.1507,0.0669
1227871,0.18932,0.3035,0.90755,0.0,0.0
1227887,0.18915,0.30191,0.90598,0.0,0.3844
1227903,0.18882,0.30208,0.90639,0.2176,0.5447
1227919,0.18911,0.30253,0.90739,0.4182,0.3755
1227935,0.18917,0.30257,0.90491,0.2506,0.1072
1227951,0.18813,0.30293,0.90704,0.0,0.0
1227968,0.1886,0.30285,0.90536,0.0,0.3409
1227984,0.18848,0.30289,0.9063,0.1877,0.5455
1228000,0.18878,0.30267,0.90531,0.4199,0.436
1228016,0.18864,0.30278,0.90612,0.3151,0.1442
1228032,0.18873,0.30333,0.906,0.0,0.0
1228048,0.18902,0.30305,0.90726,0.0,0.3046
1228064,0.18957,0.30284,0.90754,0.1474,0.5343
1228080,0.18857,0.30384,0.90605,0.4118,0.4843
1228096,0.18903,0.30289,0.90648,0.3699,0.1781
1228113,0.18869,0.30347,0.90586,0.0,0.0
1228129,0.18868,0.30313,0.90648,0.0,0.2377
1228145,0.18853,0.30357,0.90541,0.0741,0.4972
1228161,0.18839,0.30301,0.9056,0.3924,0.5141
1228177,0.18967,0.30309,0.90528,0.386,0.2144
1228193,0.18801,0.30267,0.90678,0.0,0.0016
1228209,0.18908,0.30301,0.90707,0.0,0.1571
1228225,0.18846,0.30313,0.90641,0.004,0.4787
1228241,0.18789,0.30363,0.90718,0.3344,0.5343
1228258,0.18906,0.3039,0.9065,0.3948,0.2538
1228274,0.18777,0.30357,0.9061,0.0,0.0097
1228290,0.18992,0.30287,0.90678,0.0,0.0685
1228306,0.18965,0.30129,0.90725,0.0,0.4416
1228322,0.18922,0.3018,0.9057,0.2925,0.5391
1228338,0.18847,0.30338,0.90797,0.3908,0.2933
1228354,0.18798,0.30264,0.90591,0.0894,0.0508
1228370,0.18873,0.30252,0.90547,0.0,0.0
1228386,0.18978,0.30269,0.9085,0.0,0.3948
1228403,0.18876,0.30325,0.90675,0.2353,0.5407
1228419,0.18797,0.30243,0.90492,0.3932,0.3497
1228435,0.18889,0.30298,0.90589,0.203,0.0894
1228451,0.1879,0.30387,0.90685,0.0,0.0
1228467,0.18827,0.30354,0.90596,0.0,0.361
1228483,0.18778,0.30297,0.90636,0.1926,0.5399
1228499,0.18851,0.30307,0.90568,0.3908,0.3417
1228515,0.18912,0.30409,0.90632,0.2038,0.0862
1228531,0.18797,0.3033,0.90692,0.0,0.0
1228547,0.18818,0.30304,0.90602,0.0,0.3602
1228563,0.18902,0.30257,0.90708,0.1982,0.5455
1228579,0.19003,0.30428,0.90626,0.4215,0.4045
1228595,0.18853,0.30197,0.90488,0.2901,0.1249
1228611,0.18852,0.30178,0.90674,0.0,0.0
1228627,0.18832,0.30276,0.90583,0.0,0.3296
1228644,0.1889,0.30337,0.90577,0.17,0.5407
1228660,0.18954,0.30271,0.90602,0.365,0.5214
1228677,0.18848,0.30236,0.90681,0.3892,0.2281
1228693,0.18935,0.30138,0.90487,0.0,0.0081
1228709,0.18903,0.30199,0.90536,0.0,0.2127
1228725,0.18965,0.30308,0.90741,0.0387,0.4956
1228741,0.18855,0.30258,0.90527,0.3803,0.523
1228757,0.18831,0.30227,0.90661,0.3892,0.2281
1228773,0.18898,0.30254,0.90694,0.0,0.0056
1228789,0.18936,0.30223,0.90597,0.0,0.1233
1228805,0.18918,0.30368,0.90712,0.0,0.4601
1228821,0.18988,0.30264,0.906,0.3328,0.5391
1228837,0.18835,0.30244,0.90661,0.3981,0.2635
1228854,0.18869,0.30317,0.90696,0.0129,0.0089
1228870,0.18849,0.30267,0.90524,0.0,0.0314
1228886,0.18971,0.3025,0.9057,0.0,0.4279
1228902,0.18855,0.30252,0.90654,0.2635,0.5375
1228918,0.1883,0.30207,0.90549,0.3972,0.3151
1228934,0.18814,0.30299,0.90609,0.1523,0.0604
1228950,0.18925,0.3034,0.90668,0.0,0.0
1228966,0.18929,0.30252,0.90589,0.0,0.386
1228982,0.18923,0.30117,0.90707,0.2208,0.5439
1228999,0.18811,0.30242,0.90722,0.4199,0.3731
1229015,0.189,0.30279,0.90648,0.2377,0.108
1229031,0.18904,0.30457,0.90573,0.0,0.0
1229047,0.19,0.30362,0.90565,0.0,0.3521
1229063,0.18916,0.3024,0.90511,0.1861,0.5407
1229079,0.18956,0.30192,0.90541,0.4118,0.4303
1229095,0.18933,0.30258,0.90582,0.2434,0.1023
1229111,0.18868,0.30214,0.90557,0.0,0.0
1229127,0.18807,0.30308,0.90623,0.0,0.3521
1229143,0.18934,0.30335,0.9065,0.1861,0.5472
1229159,0.18865,0.30332,0.90689,0.4174,0.4287
1229175,0.18877,0.30404,0.90661,0.2941,0.1362
1229191,0.18927,0.30365,0.90604,0.0,0.0
1229207,0.18851,0.30037,0.90653,0.0,0.3151
1229223,0.18721,0.30444,0.90566,0.1603,0.5391
1229240,0.18768,0.30262,0.90651,0.4231,0.4763
1229256,0.1888,0.3032,0.90497,0.3602,0.1732
1229272,0.18992,0.30423,0.90728,0.0,0.0
1229288,0.18818,0.30427,0.90663,0.0,0.2522
1229304,0.18767,0.30207,0.90551,0.0701,0.5101
1229320,0.18839,0.30162,0.90542,0.3908,0.5117
1229336,0.18999,0.30264,0.90591,0.3892,0.2136
1229352,0.18996,0.30312,0.90523,0.0,0.0
1229368,0.18913,0.30246,0.90568,0.0,0.1708
1229385,0.18814,0.30279,0.90466,0.0185,0.4803
1229401,0.188,0.30427,0.90637,0.3586,0.531
1229417,0.18811,0.30437,0.90683,0.3956,0.2401
1229433,0.18937,0.30193,0.90629,0.0008,0.0073
1229449,0.18895,0.30245,0.90663,0.0,0.0814
1229465,0.18881,0.30345,0.90548,0.0,0.4456
1229481,0.18781,0.30206,0.90608,0.2925,0.5399
1229497,0.18777,0.30187,0.90643,0.3972,0.2877
1229513,0.1889,0.30321,0.90558,0.0588,0.0363
1229530,0.18987,0.30363,0.90506,0.0,0.0
1229546,0.18911,0.30291,0.90624,0.0,0.4037
1229562,0.18798,0.30135,0.90837,0.245,0.5383
1229578,0.18796,0.30246,0.90699,0.386,0.3296
1229594,0.18805,0.30401,0.90577,0.1982,0.0854
1229610,0.1893,0.30172,0.90642,0.0,0.0
1229626,0.18885,0.30215,0.90531,0.0,0.3682
1229642,0.18898,0.30179,0.90639,0.1934,0.5375
1229658,0.18838,0.30313,0.9061,0.4215,0.3989
1229675,0.18708,0.30247,0.90593,0.2804,0.12
1229691,0.18877,0.30175,0.90556,0.0,0.0
1229707,0.18927,0.30303,0.90633,0.0,0.332
1229723,0.18971,0.30307,0.90596,0.1764,0.5455
1229739,0.1886,0.30316,0.90539,0.4199,0.4497
1229755,0.18885,0.3021,0.90686,0.3344,0.1603
1229771,0.18858,0.30215,0.90649,0.0,0.0
1229787,0.1888,0.30215,0.90569,0.0,0.2941
1229803,0.18991,0.30296,0.90676,0.112,0.5246
1229820,0.18867,0.30127,0.90549,0.4231,0.4924
1229836,0.18958,0.30314,0.90568,0.3699,0.1861
1229852,0.1882,0.30222,0.90652,0.0,0.0
1229868,0.18775,0.30315,0.90586,0.0,0.216
1229884,0.18914,0.30162,0.90523,0.0483,0.4988
1229900,0.18898,0.30184,0.90556,0.3779,0.5214
1229916,0.18894,0.30339,0.90577,0.3763,0.1877
1229932,0.18919,0.3028,0.90647,0.0,0.0
1229948,0.18777,0.30296,0.90653,0.0,0.2176
